1,教室,a,I like Mr Lee.,2
2,教室,a,Miss Lee is my favorite.,3
3,教室,a,My favorite teacher is Miss Lee.,3
4,教室,a,"Yes, my teacher works hard, and disciplines students strictly.",6
5,教室,a,"No, my teacher is easy-going.",4
6,教室,a,"Yes, my teacher has a way with student.",6
7,教室,a,"Yes, my teacher works hard, and disciplines students strictly.",7
8,教室,a,"No, my teacher is easy-going.",5
9,教室,a,"Yes, my teacher has a way with student.",7
10,教室,a,"He looks stern, but he's really caring and kind.",6
11,教室,a,He has a loving heart.,6
12,教室,a,He is good to student.,6
13,教室,a,"She looks stern, but she's really caring and kind.",7
14,教室,a,She has a loving heart.,7
15,教室,a,She is good to student.,7
16,教室,a,He's not too fat nor skinny.,8
17,教室,a,He's a little short.,8
18,教室,a,He's tall and muscular.,8
19,教室,a,She looks like a model.,10
20,教室,a,She's nice and slender.,10
21,教室,a,She's well blessed.,10
22,教室,a,He's about 160 centimeters tall.,11
23,教室,a,He's about 170 centimeters tall.,11
24,教室,a,He's about 180 centimeters tall.,11
25,教室,a,He's really dressed up today.,12
26,教室,a,He likes to wear plan clothes.,12
27,教室,a,He's wearing a suit and tie today.,12
28,教室,a,She's about 150 centimeters tall.,11
29,教室,a,She's about 160 centimeters tall.,11
30,教室,a,She's about 170 centimeters tall.,11
31,教室,a,She's really dressed up today.,12
32,教室,a,She likes to wear plan clothes.,12
33,教室,a,She's wearing earrings today.,12
34,教室,b,Chinese is my favorite subject.,14
35,教室,b,English is my favorite subject.,16
36,教室,b,Math is my favorite subject.,17
37,教室,b,I like Chinese because studying Chinese helps me understand the depth and breadth of Chinese culture.,15
38,教室,b,Because English grammar is too complicated. Chinese is easy to understand.,15
39,教室,b,It's important for the future.,15
40,教室,b,"Yes, history is a mirror of human beings.",21
41,教室,b,"Yes, we can learn what we should do by reading history.",21
42,教室,b,"No, I don't like to memorize details, like names and dates.",21
43,教室,b,I like English because English is an international language.,19
44,教室,b,I like English because I can understand the world.,19
45,教室,b,I like English because I can communicate with people in the world through English.,19
46,教室,b,I like math because I like thinking.,18
47,教室,b,"I like math. Whenever I solve a very hard problem, I have a sense of accomplishment beyond description.",18
48,教室,b,It's very useful.,18
49,教室,b,It was a piece of cake.,21
50,教室,b,I passed it with flying colors.,21
51,教室,b,The test questions were very easy so I did very well.,21
52,教室,b,Chinese and English.,20
53,教室,b,I'm fluent in Japanese.,20
54,教室,b,I can speak a little Korean.,20
55,教室,b,I want to learn French.,21
56,教室,b,I want to learn German.,21
57,教室,b,I want to learn Italian.,21
58,宿舍,a,Hello.,24
59,宿舍,a,How do you do?,24
60,宿舍,a,Hello. Nice to meet you.,23
61,宿舍,a,My name is Jessica.,25
62,宿舍,a,Everyone calls me Ian.,25
63,宿舍,a,You can call me Lucky.,25
64,宿舍,a,I'm fourteen.,26
65,宿舍,a,I'm seventeen years old.,26
66,宿舍,a,I was born twenty years ago.,26
67,宿舍,a,My blood type is A.,27
68,宿舍,a,My blood type is B.,27
69,宿舍,a,My blood type is O.,27
70,宿舍,a,I was born in the sign of Aries.,28
71,宿舍,a,I was born in the sign of Leo.,28
72,宿舍,a,I was born in the sign of Capricorn.,28
73,宿舍,a,There are four.,29
74,宿舍,a,We have five people.,29
75,宿舍,a,They're my parents and I.,29
76,宿舍,a,My father's a government worker.,30
77,宿舍,a,My father's works in a private company,30
78,宿舍,a,My father is a policeman.,30
79,宿舍,a,My mother is a housekeeper.,31
80,宿舍,a,My mother is a professional career,31
81,宿舍,a,My mother is a baby-sitter.,31
82,宿舍,a,I live in Yilan.,32
83,宿舍,a,I live right here in Miaoli City.,32
84,宿舍,a,I live in Tainan.,32
85,宿舍,a,I like sports.,33
86,宿舍,a,"Sleeping, watching movies, and playing computer games.",34
87,宿舍,a,I like being outdoors .,35
88,宿舍,a,I'd love too.,36
89,宿舍,a,Sorry I have plans.,36
90,宿舍,a,I'll take a rain check.,36
91,宿舍,a,I like to watch the classics.,36
92,宿舍,a,I like to watch romance movies.,36
